time,veh,evt,pathId,policy,pathLen,nextIdx,targetJ,ttl,selected,nextList,prevHop
4.781,6,REQ,1,1,3,0,6,0,0,",06-5-1"
8.251,10,REQ,1,1,2,0,0,0,0,",00-1"
8.676,13,REQ,1,1,4,0,8,0,0,",08-7-3-0"
11.087,1,REQ,1,1,7,0,1,0,0,",01-0-2-7-3-4-6"
13.766,17,REQ,1,1,4,0,6,0,0,",06-5-1-0"
15.671,13,REQ,2,1,3,0,6,0,0,",06-5-1"
15.678,29,FWD,2,1,3,0,6,9,21,"4@1.35e+03;12@1.35e+03;13@1.26e+03;20@1.34e+03;21@1.3e+03;28@1.34e+03",29
15.678,28,FWD,2,1,3,0,6,9,21,"4@1.35e+03;12@1.34e+03;13@1.26e+03;20@1.34e+03;21@1.3e+03",28
16.694,13,REQ,3,1,5,0,1,0,0,",01-0-2-7-8"
17.063,25,REQ,1,1,5,0,1,0,0,",01-0-2-7-8"
18.337,12,REQ,1,1,7,0,6,0,0,",06-5-1-0-2-7-8"
18.580,17,REQ,2,1,7,0,1,0,0,",01-0-2-7-3-4-6"
21.417,37,REQ,1,1,7,0,6,0,0,",06-5-1-0-2-7-8"
21.496,9,REQ,1,1,1,0,1,0,0,",01"
21.622,9,REQ,2,1,4,0,6,0,0,",06-5-1-0"
25.955,4,REQ,1,1,4,0,6,0,0,",06-5-1-0"
28.598,43,REQ,1,1,5,0,1,0,0,",01-0-2-7-8"
28.649,10,REQ,2,1,1,0,8,0,0,",08"
29.777,16,REQ,1,1,7,0,8,0,0,",08-7-3-0-1-5-6"
30.492,8,REQ,1,1,4,0,6,0,0,",06-5-1-0"
32.414,56,REQ,1,1,7,0,6,0,0,",06-5-1-0-2-7-8"
38.618,16,REQ,2,1,1,0,6,0,0,",06"
38.777,39,REQ,1,1,2,0,4,0,0,",04-6"
38.895,77,REQ,1,1,2,0,0,0,0,",00-1"
40.569,43,REQ,2,1,5,0,1,0,0,",01-0-2-7-8"
40.857,26,REQ,1,1,1,0,8,0,0,",08"
43.440,34,REQ,1,1,2,0,8,0,0,",08-7"
46.415,12,REQ,2,1,5,0,8,0,0,",08-7-3-0-1"
47.222,37,REQ,2,1,2,0,0,0,0,",00-1"
47.223,93,FWD,2,1,2,0,0,7,68,"68@829;76@906;77@994;84@959;85@991;92@983",93
47.223,92,FWD,2,1,2,0,0,7,68,"68@835;76@915;77@994;84@965;85@991",92
49.389,85,REQ,1,1,7,0,5,0,0,",05-1-0-2-7-3-4"
50.440,24,REQ,1,1,2,0,1,0,0,",01-0"
53.335,16,REQ,3,1,4,0,4,0,0,",04-3-0-1"
55.554,107,REQ,1,1,2,0,4,0,0,",04-3"
57.147,46,REQ,1,1,4,0,8,0,0,",08-7-3-0"
58.703,103,REQ,1,1,2,0,3,0,0,",03-5"
4.781,6,REQ,1,1,3,0,6,0,0,",06-5-1"
8.251,10,REQ,1,1,2,0,6,0,0,",06-5"
8.676,13,REQ,1,1,4,0,8,0,0,",08-7-3-0"
11.087,1,REQ,1,1,7,0,1,0,0,",01-0-2-7-3-4-6"
4.781,6,REQ,1,1,3,0,6,0,0,",06-5-1"
8.251,10,REQ,1,1,2,0,6,0,0,",06-5"
8.676,13,REQ,1,1,4,0,8,0,0,",08-7-3-0"
11.087,1,REQ,1,1,7,0,1,0,0,",01-0-2-7-3-4-6"
13.766,17,REQ,1,1,4,0,6,0,0,",06-5-1-0"
15.671,13,REQ,2,1,3,0,6,0,0,",06-5-1"
15.678,29,FWD,2,1,3,0,6,9,21,"4@1.35e+03;12@1.35e+03;13@1.26e+03;20@1.34e+03;21@1.3e+03;28@1.34e+03",29
15.678,28,FWD,2,1,3,0,6,9,21,"4@1.35e+03;12@1.34e+03;13@1.26e+03;20@1.34e+03;21@1.3e+03",28
16.694,13,REQ,3,1,5,0,1,0,0,",01-0-2-7-8"
17.063,25,REQ,1,1,5,0,1,0,0,",01-0-2-7-8"
18.337,12,REQ,1,1,7,0,6,0,0,",06-5-1-0-2-7-8"
18.580,17,REQ,2,1,7,0,1,0,0,",01-0-2-7-3-4-6"
4.781,6,REQ,1,1,3,0,0,0,0,",00-3-4"
4.781,6,REQ,1,1,3,0,0,0,0,",00-3-4"
8.251,10,REQ,1,1,4,0,6,0,0,",06-4-3-5"
4.781,6,REQ,1,1,3,0,0,0,0,",00-3-4"
4.781,6,REQ,1,1,3,0,0,0,0,",00-3-4"
8.251,10,REQ,1,1,8,0,6,0,0,",06-4-3-7-2-0-1-5"
4.781,6,REQ,1,1,3,0,0,0,0,",00-3-4"
8.251,10,REQ,1,1,8,0,6,0,0,",06-4-3-7-2-0-1-5"
4.781,6,REQ,1,1,7,0,6,0,0,",06-4-3-7-2-0-1"
8.251,10,REQ,1,1,10,0,0,0,0,",00-3-4-8-11-9-10-6-5-1"
8.676,13,REQ,1,1,6,0,8,0,0,",08-4-3-7-2-0"
11.087,1,REQ,1,1,9,0,1,0,0,",01-5-3-4-8-11-9-10-6"
13.766,17,REQ,1,1,6,0,6,0,0,",06-4-3-7-2-0"
15.671,13,REQ,2,1,7,0,6,0,0,",06-4-3-7-2-0-1"
15.678,29,FWD,2,1,7,0,6,17,21,"4@1.35e+03;12@1.35e+03;13@1.26e+03;20@1.34e+03;21@1.3e+03;28@1.34e+03",29
15.678,28,FWD,2,1,7,0,6,17,21,"4@1.35e+03;12@1.34e+03;13@1.26e+03;20@1.34e+03;21@1.3e+03",28
16.694,13,REQ,3,1,5,0,1,0,0,",01-5-3-4-8"
17.063,25,REQ,1,1,5,0,1,0,0,",01-5-3-4-8"
18.337,12,REQ,1,1,5,0,6,0,0,",06-4-3-7-8"
18.580,17,REQ,2,1,9,0,1,0,0,",01-5-3-4-8-11-9-10-6"
21.417,37,REQ,1,1,5,0,6,0,0,",06-4-3-7-8"
21.496,9,REQ,1,1,1,0,1,0,0,",01"
21.622,9,REQ,2,1,6,0,6,0,0,",06-4-3-7-2-0"
25.955,4,REQ,1,1,6,0,6,0,0,",06-4-3-7-2-0"
28.598,43,REQ,1,1,5,0,1,0,0,",01-5-3-4-8"
28.649,10,REQ,2,1,1,0,8,0,0,",08"
29.777,16,REQ,1,1,9,0,8,0,0,",08-4-3-7-2-0-1-5-6"
30.492,8,REQ,1,1,6,0,6,0,0,",06-4-3-7-2-0"
32.414,56,REQ,1,1,5,0,6,0,0,",06-4-3-7-8"
38.618,16,REQ,2,1,1,0,6,0,0,",06"
38.777,39,REQ,1,1,8,0,4,0,0,",04-3-7-8-11-9-10-6"
38.895,77,REQ,1,1,10,0,0,0,0,",00-3-4-8-11-9-10-6-5-1"
40.569,43,REQ,2,1,5,0,1,0,0,",01-5-3-4-8"
40.857,26,REQ,1,1,1,0,8,0,0,",08"
43.440,34,REQ,1,1,4,0,8,0,0,",08-4-3-7"
46.415,12,REQ,2,1,7,0,8,0,0,",08-4-3-7-2-0-1"
47.222,37,REQ,2,1,10,0,0,0,0,",00-3-4-8-11-9-10-6-5-1"
47.223,93,FWD,2,1,10,0,0,23,68,"68@829;76@906;77@994;84@959;85@991;92@983",93
47.223,92,FWD,2,1,10,0,0,23,68,"68@835;76@915;77@994;84@965;85@991",92
49.389,85,REQ,1,1,3,0,5,0,0,",05-3-4"
50.440,24,REQ,1,1,8,0,1,0,0,",01-5-3-4-8-7-2-0"
53.335,16,REQ,3,1,10,0,4,0,0,",04-3-7-8-11-9-10-6-5-1"
55.554,107,REQ,1,1,2,0,4,0,0,",04-3"
