step,eps,num_paths,action_hrf,hop_hrf,reward_hrf,loss_hrf,action_ldf,hop_ldf,reward_ldf,loss_ldf,action_lbf,hop_lbf,reward_lbf,loss_lbf
20,0.5428,5,0,11,4.8603,nan,3,11,5.0506,nan,2,11,4.9604,nan
40,0.4910,5,0,5,4.9363,nan,4,5,5.0895,nan,1,5,4.9986,nan
60,0.4442,5,0,7,4.8868,nan,3,7,5.0647,nan,3,7,4.9744,nan
80,0.4018,5,0,4,4.9619,3.571295,4,6,5.0747,1.918362,0,4,5.0114,2.197740
100,0.3635,5,3,9,4.8603,2.426858,1,9,5.0507,1.851520,4,9,4.9604,1.634545
120,0.3288,5,1,9,4.8603,2.317649,2,9,5.0507,1.784116,1,9,4.9604,1.695590
140,0.2974,5,2,4,4.9576,1.666540,1,4,5.1013,1.306008,0,2,5.0346,1.259922
160,0.2691,5,1,3,4.9701,1.374439,2,3,5.1056,1.572537,3,3,5.0155,1.399094
180,0.2434,5,1,5,4.9379,1.650986,1,5,5.0895,1.422029,1,5,4.9993,0.943185
200,0.2202,5,3,8,4.8643,1.331019,4,8,5.0527,1.156459,2,8,4.9619,1.134972
220,0.1992,5,4,5,4.9376,1.250894,4,5,5.0894,0.948764,0,5,4.9981,1.187366
240,0.1802,5,1,4,4.9573,1.506426,4,6,5.0748,1.325397,0,4,5.0090,1.119285
260,0.1630,5,4,4,4.9624,1.053486,4,4,5.1019,1.194931,0,4,5.0115,1.143133
280,0.1474,5,3,6,4.9118,1.151526,2,6,5.0765,0.903136,1,6,4.9863,0.907000
300,0.1334,5,3,7,4.8873,1.032996,0,7,5.0630,1.078738,3,7,4.9740,0.791852
320,0.1207,5,3,5,4.9370,0.641490,2,3,5.1132,0.943151,2,3,5.0232,0.873051
340,0.1091,5,2,11,4.8603,0.860229,2,11,5.0506,0.835304,1,11,4.9604,1.024230
360,0.0987,5,1,5,4.9367,0.858950,1,5,5.0889,0.681383,3,5,4.9987,0.762549
380,0.0893,5,4,12,4.8603,0.988842,4,12,5.0507,0.591828,0,12,4.9607,0.909996
400,0.0808,5,1,5,4.9374,0.783644,4,5,5.0892,0.741884,3,5,4.9979,0.766823
420,0.0731,5,4,7,4.8877,0.869569,3,7,5.0647,0.656331,3,7,4.9747,0.767212
440,0.0661,5,1,5,4.9310,0.557754,3,5,5.0866,0.574338,1,5,4.9958,0.598764
460,0.0598,5,2,4,4.9603,0.490732,4,4,5.1007,0.750898,2,4,5.0106,0.598434
480,0.0541,5,3,13,4.8603,0.668820,4,13,5.0507,0.413836,1,13,4.9604,0.657856
500,0.0500,5,4,6,4.9140,0.497985,1,6,5.0776,0.557354,4,6,4.9874,0.556787
520,0.0500,5,4,7,4.8865,0.593408,3,7,5.0638,0.524073,4,7,4.9736,0.633340
540,0.0500,5,2,7,4.8889,0.387472,2,7,5.0650,0.497615,0,7,4.9747,0.560754
560,0.0500,5,3,6,4.9125,0.438943,3,6,5.0768,0.467911,4,6,4.9866,0.529517
580,0.0500,5,0,5,4.9369,0.532757,1,5,5.0890,0.651112,2,5,4.9989,0.643936
600,0.0500,5,4,12,4.8607,0.561172,1,12,5.1078,0.382348,1,12,5.0188,0.549626
620,0.0500,5,2,4,4.9597,0.518089,4,4,5.1006,0.458038,1,4,5.0087,0.530001
640,0.0500,5,4,14,4.8603,0.428864,2,14,5.0506,0.447025,2,14,4.9604,0.419304
660,0.0500,5,1,3,4.9865,0.461123,1,3,5.1139,0.469250,3,5,4.9974,0.403992
680,0.0500,5,1,6,4.9043,0.410276,4,6,5.0719,0.448965,1,6,4.9825,0.415101
700,0.0500,5,1,7,4.8874,0.379240,0,7,5.0642,0.507478,4,7,4.9733,0.598444
720,0.0500,5,3,6,4.9106,0.268154,3,6,5.0758,0.374000,2,6,4.9875,0.319774
740,0.0500,5,1,10,4.8603,0.377074,3,10,5.0506,0.362990,2,10,4.9604,0.386659
760,0.0500,5,0,15,4.8733,0.295855,0,15,5.0562,0.276940,4,15,4.9613,0.417363
780,0.0500,5,2,8,4.8603,0.339529,0,8,5.0513,0.395251,0,8,4.9611,0.453426
800,0.0500,5,0,1,5.0357,0.350956,2,3,5.1140,0.418924,4,3,5.0239,0.354780
820,0.0500,5,4,11,4.8603,0.341882,2,11,5.0506,0.317687,3,11,4.9604,0.366553
840,0.0500,5,2,10,4.8603,0.263720,1,10,5.0507,0.318811,3,10,4.9604,0.347705
860,0.0500,5,4,11,4.8603,0.323400,4,11,5.0507,0.274529,3,11,4.9604,0.443350
880,0.0500,5,3,12,4.8603,0.328470,4,12,5.0506,0.274886,2,12,4.9604,0.333959
900,0.0500,5,4,8,4.8623,0.294856,0,8,5.0512,0.231389,0,8,4.9610,0.319056
920,0.0500,5,0,9,4.8603,0.328573,2,9,5.0507,0.306070,4,9,4.9604,0.330248
940,0.0500,5,0,5,4.9368,0.462245,2,5,5.0892,0.236422,1,5,4.9993,0.335124
960,0.0500,5,4,9,4.8605,0.283861,1,9,5.0510,0.256855,1,9,4.9613,0.263557
980,0.0500,5,3,6,4.9110,0.313326,2,6,5.0760,0.269119,2,6,4.9858,0.347188
1000,0.0500,5,0,9,4.8603,0.316319,3,9,5.0507,0.393169,0,9,4.9604,0.281912
1020,0.0500,5,0,3,4.9848,0.269388,3,5,5.0876,0.233602,4,5,4.9974,0.311447
1040,0.0500,5,4,8,4.8605,0.222309,4,8,5.0508,0.215713,1,8,4.9609,0.215620
1060,0.0500,5,1,11,5.0561,0.217423,0,11,5.1236,0.262902,2,11,5.0115,0.290212
1080,0.0500,5,3,3,4.9977,0.235748,0,3,5.1174,0.267078,2,3,5.0306,0.313817
1100,0.0500,5,0,3,4.9855,0.204192,2,3,5.1132,0.307175,4,5,4.9979,0.254726
1120,0.0500,5,2,6,4.9048,0.261845,4,6,5.0748,0.207769,4,6,4.9846,0.250451
1140,0.0500,5,1,5,4.9363,0.240403,1,5,5.0888,0.205781,2,5,4.9988,0.259167
1160,0.0500,5,3,5,4.9360,0.285688,0,5,5.0884,0.145037,0,5,4.9982,0.264362
1180,0.0500,5,4,9,4.8603,0.226148,0,9,5.0507,0.223631,2,9,4.9604,0.267912
1200,0.0500,5,1,14,4.8603,0.199445,4,14,5.0506,0.161871,4,14,4.9603,0.277861
1220,0.0500,5,1,5,4.9348,0.198619,0,5,5.0880,0.240395,4,5,4.9989,0.313641
1240,0.0500,5,2,10,4.8603,0.250195,1,10,5.0507,0.217942,0,10,4.9604,0.242628
1260,0.0500,5,4,11,4.8603,0.224445,1,11,5.0507,0.181903,2,11,4.9604,0.241200
1280,0.0500,5,1,3,4.9777,0.261040,0,3,5.1117,0.211555,3,3,5.0212,0.264679
1300,0.0500,5,4,10,4.8603,0.214742,3,10,5.0506,0.243514,4,10,4.9604,0.206337
1320,0.0500,5,3,7,4.8865,0.236396,0,7,5.0650,0.192186,2,7,4.9735,0.272336
1340,0.0500,5,2,10,4.8603,0.233796,3,10,5.0507,0.283771,3,10,4.9605,0.211174
1360,0.0500,5,2,7,4.8886,0.218306,2,7,5.0648,0.252424,0,7,4.9746,0.189185
1380,0.0500,5,0,11,4.8603,0.207757,2,11,5.0507,0.197334,4,11,4.9604,0.213929
1400,0.0500,5,1,6,4.9140,0.174757,3,6,5.0758,0.236234,0,4,5.0097,0.174260
1420,0.0500,5,3,6,4.9031,0.210254,2,6,5.0721,0.198296,1,6,4.9807,0.234005
1440,0.0500,5,0,4,4.9619,0.205599,4,4,5.1010,0.221316,2,4,5.0118,0.202048
1460,0.0500,5,1,2,5.0084,0.221539,0,2,5.1248,0.194428,3,4,5.0090,0.193044
1480,0.0500,5,2,9,4.8603,0.140800,2,9,5.0507,0.136781,3,9,4.9604,0.203891
1500,0.0500,5,1,12,4.8603,0.206991,2,12,5.0506,0.164682,0,12,4.9603,0.180926
