step,eps,num_paths,action_hrf,hop_hrf,reward_hrf,loss_hrf,action_ldf,hop_ldf,reward_ldf,loss_ldf,action_lbf,hop_lbf,reward_lbf,loss_lbf
100,0.8561,8,4,9,1.7303,nan,3,9,1.8207,nan,2,9,1.7304,nan
200,0.8143,8,6,5,2.0383,0.283257,5,3,2.1543,0.260067,1,3,2.0641,0.343087
300,0.7746,8,5,12,1.3703,0.060668,0,12,1.4607,0.066738,7,12,1.3704,0.075063
400,0.7368,8,1,5,2.0383,0.034584,6,5,2.0897,0.048654,5,5,1.9995,0.052377
500,0.7009,8,7,9,1.7303,0.042100,2,9,1.8207,0.031208,2,9,1.7304,0.032493
600,0.6667,8,4,6,1.9918,0.033364,0,6,2.0564,0.035807,0,6,1.9662,0.038613
700,0.6342,8,0,5,2.0333,0.026098,6,5,2.0837,0.030498,0,5,1.9970,0.025028
800,0.6032,8,2,9,1.7303,0.027275,4,9,1.8206,0.030920,1,9,1.7304,0.030987
900,0.5738,8,0,10,1.6103,0.026353,7,10,1.7007,0.023489,6,10,1.6104,0.027850
1000,0.5458,8,7,8,1.8503,0.022638,4,8,1.9420,0.017827,4,8,1.8517,0.024485
1100,0.5192,8,7,4,2.0808,0.020078,1,4,2.1216,0.016479,5,4,2.0309,0.022381
1200,0.4939,8,6,4,2.0769,0.019502,3,4,2.1190,0.028699,2,4,2.0291,0.024661
1300,0.4698,8,4,5,2.0308,0.018138,3,5,2.0859,0.022779,2,5,1.9908,0.021618
1400,0.4468,8,5,12,1.3703,0.015209,7,12,1.4607,0.017227,5,12,1.3705,0.020935
1500,0.4251,8,0,9,1.7303,0.014624,1,9,1.8207,0.018250,2,9,1.7304,0.015832
1600,0.4043,8,0,8,1.8532,0.016142,2,8,1.9424,0.021104,0,8,1.8519,0.017807
1700,0.3846,8,5,5,2.0320,0.019980,2,5,2.0885,0.017619,0,5,1.9959,0.013687
1800,0.3658,8,1,2,2.1716,0.016203,5,4,2.1200,0.017531,0,2,2.0956,0.015075
